Data;Total
16/05/2022;397
17/05/2022;533
18/05/2022;387
19/05/2022;654
20/05/2022;474
23/05/2022;464
24/05/2022;484
25/05/2022;647
26/05/2022;515
27/05/2022;434
30/05/2022;369
31/05/2022;561
01/06/2022;406
02/06/2022;562
03/06/2022;514
06/06/2022;362
07/06/2022;475
08/06/2022;421
09/06/2022;677
10/06/2022;488
13/06/2022;706
14/06/2022;596
15/06/2022;594
20/06/2022;574
21/06/2022;793
22/06/2022;672
23/06/2022;471
24/06/2022;496
27/06/2022;643
28/06/2022;442
29/06/2022;493
30/06/2022;663
01/07/2022;1324
04/07/2022;493
05/07/2022;506
06/07/2022;497
07/07/2022;528
08/07/2022;406
11/07/2022;480
12/07/2022;532
13/07/2022;420
14/07/2022;668
15/07/2022;488
18/07/2022;587
19/07/2022;434
20/07/2022;421
21/07/2022;681
22/07/2022;365
23/07/2022;110
25/07/2022;432
26/07/2022;521
27/07/2022;561
28/07/2022;503
29/07/2022;463
01/08/2022;709
02/08/2022;536
03/08/2022;507
04/08/2022;566
05/08/2022;470
08/08/2022;718
09/08/2022;454
10/08/2022;498
11/08/2022;622
12/08/2022;446
15/08/2022;602
16/08/2022;587
17/08/2022;675
18/08/2022;560
19/08/2022;611
22/08/2022;484
23/08/2022;804
24/08/2022;649
25/08/2022;584
26/08/2022;853
29/08/2022;477
30/08/2022;963
31/08/2022;493
01/09/2022;763
02/09/2022;553
05/09/2022;707
06/09/2022;380
08/09/2022;524
09/09/2022;518
12/09/2022;631
13/09/2022;519
14/09/2022;817
15/09/2022;495
16/09/2022;589
19/09/2022;781
20/09/2022;584
21/09/2022;718
22/09/2022;659
23/09/2022;770
26/09/2022;763
27/09/2022;637
28/09/2022;663
29/09/2022;624
30/09/2022;653
03/10/2022;575
04/10/2022;530
05/10/2022;507
06/10/2022;468
07/10/2022;748
10/10/2022;455
11/10/2022;445
13/10/2022;504
14/10/2022;587
17/10/2022;868
18/10/2022;453
19/10/2022;529
20/10/2022;511
21/10/2022;1419
24/10/2022;529
25/10/2022;424
26/10/2022;505
27/10/2022;402
31/10/2022;760
01/11/2022;517
03/11/2022;442
04/11/2022;609
07/11/2022;370
08/11/2022;364
09/11/2022;559
10/11/2022;635
11/11/2022;460
16/11/2022;709
17/11/2022;397
18/11/2022;894
21/11/2022;500
22/11/2022;574
23/11/2022;505
24/11/2022;440
25/11/2022;346
28/11/2022;441
29/11/2022;428
30/11/2022;353
01/12/2022;390
02/12/2022;690
05/12/2022;448
06/12/2022;337
07/12/2022;389
08/12/2022;557
09/12/2022;406
12/12/2022;416
13/12/2022;805
14/12/2022;446
15/12/2022;558
16/12/2022;428
19/12/2022;434
20/12/2022;426
21/12/2022;373
22/12/2022;520
23/12/2022;356
26/12/2022;314
27/12/2022;370
28/12/2022;305
29/12/2022;265
30/12/2022;305
